libglib2.0-dev:amd64	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8	glib2.0	2.80.0-6ubuntu3.8
libglvnd-core-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libglvnd-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libglvnd0:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2	mesa	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1	libglvnd	1.7.0-1build1
libgme0:amd64	0.6.3-7build1	game-music-emu	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1	gmp	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6	gnutls28	3.8.3-1.1ubuntu3.6
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1	libgpg-error	1.47-3build2.1
libgpm2:amd64	1.20.7-11	gpm	1.20.7-11
libgprofng0:amd64	2.42-4ubuntu2.10	binutils	2.42-4ubuntu2.10
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1	graphite2	1.3.14-2ubuntu0.24.04.1
libgraphite2-dev:amd64	1.3.14-2ubuntu0.24.04.1	graphite2	1.3.14-2ubuntu0.24.04.1
libgsm1:amd64	1.0.22-1build1	libgsm	1.0.22-1build1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8	krb5	1.20.1-6ubuntu2.8
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.4	gst-plugins-base1.0	1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4	gst-plugins-base1.0	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.5	gst-plugins-good1.0	1.24.2-1ubuntu1.5
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1	gstreamer1.0	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
libgtk-3-dev:amd64	3.24.41-4ubuntu1.3	gtk+3.0	3.24.41-4ubuntu1.3
libgudev-1.0-0:amd64	1:238-5ubuntu1	libgudev	238-5ubuntu1
libgumbo-dev:amd64	0.12.0+dfsg-2build1	gumbo-parser	0.12.0+dfsg-2build1
libgumbo2:amd64	0.12.0+dfsg-2build1	gumbo-parser	0.12.0+dfsg-2build1
libharfbuzz-cairo0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libharfbuzz-dev:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libharfbuzz-gobject0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libharfbuzz-subset0:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2	harfbuzz	8.3.0-2build2
libheif-dev:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libheif-plugin-x265:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libheif1:amd64	1.17.6-1ubuntu4.8	libheif	1.17.6-1ubuntu4.8
libhogweed6t64:amd64	3.9.1-2.2build1.1	nettle	3.9.1-2.2build1.1
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3	hunspell	1.7.2+really1.7.2-10build3
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
